ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
95965,64.8%,"$ 3 27,315,725",89.8%,"$ 1 98,603,600",22.3%,"$ 1 04,619,316",67.2%,"$ 8 5,519,271","$ 5 1,162,271"
95966,47.6%,"$ 1 ,764,424,501",58.4%,"$ 1 ,195,807,420",16.6%,"$ 7 55,028,571",16.6%,"$ 6 47,346,372","$ 5 55,100,840"
95968,215.0%,"$ 1 4,295,514",164.3%,"$ 4 ,538,133",337.6%,"$ 1 ,717,117",180.7%,"$ 3 92,363","$ 1 39,793"
95969,89.0%,"$ 1 ,504,778,713",133.5%,"$ 7 96,008,810",74.4%,"$ 3 40,924,657",138.6%,"$ 1 95,447,396","$ 8 1,903,548"
95973,58.8%,"$ 1 58,728,111",41.4%,"$ 9 9,935,836",24.3%,"$ 7 0,663,374",38.7%,"$ 5 6,867,242","$ 4 0,988,939"
95222,43.8%,"$ 4 36,127,544",59.8%,"$ 3 03,190,423",26.2%,"$ 1 89,735,095",30.5%,"$ 1 50,291,153","$ 1 15,181,426"
95223,9.3%,"$ 3 ,489,553,244",21.4%,"$ 3 ,192,860,247",20.7%,"$ 2 ,629,191,876",29.5%,"$ 2 ,177,905,618","$ 1 ,681,339,365"
95225,0.0%,"$ 2 7,326,184",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95226,0.0%,"$ 9 ,973,894",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95228,48.0%,"$ 7 03,866,723",89.6%,"$ 4 75,680,363",52.6%,"$ 2 50,903,078",74.8%,"$ 1 64,397,562","$ 9 4,022,130"
95232,15.5%,"$ 3 9,535,740",27.7%,"$ 3 4,235,585",78.3%,"$ 2 6,818,238",20.8%,"$ 1 5,041,873","$ 1 2,448,780"
95245,14.4%,"$ 2 51,282,736",32.8%,"$ 2 19,667,325",40.7%,"$ 1 65,365,036",23.2%,"$ 1 17,512,708","$ 9 5,396,739"
95246,13.3%,"$ 2 25,556,234",31.4%,"$ 1 99,151,321",39.5%,"$ 1 51,553,217",41.1%,"$ 1 08,651,463","$ 7 6,991,348"
95247,18.0%,"$ 1 ,103,769,832",32.0%,"$ 9 35,068,217",21.7%,"$ 7 08,493,148",35.1%,"$ 5 82,268,455","$ 4 30,945,571"
95249,31.9%,"$ 2 35,167,152",45.0%,"$ 1 78,275,824",33.9%,"$ 1 22,937,546",66.9%,"$ 9 1,808,161","$ 5 5,017,456"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
95251,11.0%,"$ 1 06,128,596",22.6%,"$ 9 5,647,590",8.5%,"$ 7 8,023,609",61.7%,"$ 7 1,908,470","$ 4 4,475,955"
95252,31.6%,"$ 4 78,387,243",64.6%,"$ 3 63,630,312",105.2%,"$ 2 20,913,453",53.5%,"$ 1 07,667,092","$ 7 0,119,468"
95254,0.0%,"$ 1 7,245,352",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95255,15.3%,"$ 2 70,333,556",14.9%,"$ 2 34,562,559",6.0%,"$ 2 04,221,468",25.4%,"$ 1 92,605,853","$ 1 53,635,944"
95257,4.4%,"$ 9 2,275,972",4.7%,"$ 8 8,346,446",21.2%,"$ 8 4,360,006",28.7%,"$ 6 9,598,963","$ 5 4,062,064"
95912,-60.9%,"$ 2 ,302,980",68.3%,"$ 5 ,888,956",77.8%,"$ 3 ,498,998",0.0%,"$ 1 ,967,500",$ -
95932,65.3%,"$ 4 ,714,632",-19.9%,"$ 2 ,851,524",1381.6%,"$ 3 ,561,047",-80.9%,"$ 2 40,353","$ 1 ,256,083"
95955,-100.0%,$ -,6.3%,"$ 1 36,347",7.2%,"$ 1 28,251",5.5%,"$ 1 19,680","$ 1 13,450"
95970,79.4%,"$ 1 ,230,045",6.7%,"$ 6 85,541",7.0%,"$ 6 42,201",1304.4%,"$ 5 99,978","$ 4 2,722"
95979,52.0%,"$ 1 9,576,544",23.5%,"$ 1 2,879,925",227.7%,"$ 1 0,430,004",42.7%,"$ 3 ,182,824","$ 2 ,230,394"
95987,-31.9%,"$ 1 ,941,360",97.6%,"$ 2 ,852,777",375.1%,"$ 1 ,443,508",4.2%,"$ 3 03,855","$ 2 91,524"
94505,322.3%,"$ 2 7,489,684",134.8%,"$ 6 ,510,250",125.0%,"$ 2 ,772,150",4.5%,"$ 1 ,232,259","$ 1 ,179,200"
94506,352.1%,"$ 1 ,226,146,776",195.8%,"$ 2 71,241,018",56.3%,"$ 9 1,710,759",1.9%,"$ 5 8,679,794","$ 5 7,589,580"
94507,321.9%,"$ 9 42,048,747",116.0%,"$ 2 23,283,430",66.7%,"$ 1 03,349,526",71.3%,"$ 6 1,983,966","$ 3 6,187,442"
94509,259.1%,"$ 5 5,186,928",19.5%,"$ 1 5,369,701",1.0%,"$ 1 2,858,621",10.1%,"$ 1 2,728,745","$ 1 1,560,414"
94511,29.2%,"$ 2 2,843,800",44.7%,"$ 1 7,679,843",0.0%,"$ 1 2,221,418",0.0%,$ -,$ -
94513,256.5%,"$ 9 1,274,601",137.6%,"$ 2 5,600,299",62.0%,"$ 1 0,776,145",-31.3%,"$ 6 ,651,852","$ 9 ,689,214"
94514,297.8%,"$ 4 ,693,135",-57.8%,"$ 1 ,179,677",9.0%,"$ 2 ,795,743",12.2%,"$ 2 ,564,611","$ 2 ,286,765"
94517,178.1%,"$ 2 24,115,358",88.6%,"$ 8 0,593,616",582.0%,"$ 4 2,727,923",80.4%,"$ 6 ,265,314","$ 3 ,473,576"
94518,141.3%,"$ 2 4,269,155",32.9%,"$ 1 0,056,215",43.0%,"$ 7 ,568,341",6.9%,"$ 5 ,292,231","$ 4 ,948,494"
94519,135.0%,"$ 9 ,158,002",-16.0%,"$ 3 ,896,212",7.8%,"$ 4 ,636,979",5.8%,"$ 4 ,300,307","$ 4 ,065,108"
94520,321.9%,"$ 1 4,751,952",117.8%,"$ 3 ,496,752",-5.7%,"$ 1 ,605,738",19.9%,"$ 1 ,702,192","$ 1 ,420,213"
94521,216.2%,"$ 5 9,571,011",241.9%,"$ 1 8,836,788",108.6%,"$ 5 ,508,677",34.8%,"$ 2 ,640,780","$ 1 ,959,650"
94523,529.3%,"$ 1 08,338,029",146.5%,"$ 1 7,216,075",-2.3%,"$ 6 ,985,592",-3.0%,"$ 7 ,147,153","$ 7 ,365,927"
94525,225.9%,"$ 5 6,377,054",156.4%,"$ 1 7,301,327",-25.6%,"$ 6 ,748,826",44.4%,"$ 9 ,067,356","$ 6 ,280,698"
94526,512.5%,"$ 5 64,248,324",83.6%,"$ 9 2,124,908",137.0%,"$ 5 0,174,686",42.4%,"$ 2 1,171,549","$ 1 4,869,864"
94528,336.0%,"$ 1 33,313,892",83.3%,"$ 3 0,575,169",43.0%,"$ 1 6,676,356",51.0%,"$ 1 1,660,000","$ 7 ,721,000"
94530,443.1%,"$ 3 05,525,888",86.3%,"$ 5 6,253,037",15.1%,"$ 3 0,195,550",96.1%,"$ 2 6,231,499","$ 1 3,379,204"
94531,568.1%,"$ 6 9,619,593",159.0%,"$ 1 0,420,265",-13.4%,"$ 4 ,023,721",3.6%,"$ 4 ,644,924","$ 4 ,481,448"
94547,744.1%,"$ 5 5,408,024",201.9%,"$ 6 ,564,453",110.7%,"$ 2 ,174,690",8.3%,"$ 1 ,032,366","$ 9 53,327"
94549,325.5%,"$ 1 ,854,209,395",92.4%,"$ 4 35,806,746",38.6%,"$ 2 26,552,395",157.7%,"$ 1 63,451,120","$ 6 3,424,593"
94553,342.8%,"$ 3 90,819,998",129.2%,"$ 8 8,261,661",69.2%,"$ 3 8,512,144",52.5%,"$ 2 2,757,535","$ 1 4,919,931"
94556,550.9%,"$ 5 12,712,241",136.5%,"$ 7 8,774,822",24.1%,"$ 3 3,311,974",91.0%,"$ 2 6,843,796","$ 1 4,056,073"
94561,94.1%,"$ 2 9,129,666",10.2%,"$ 1 5,003,977",-19.3%,"$ 1 3,621,202",13.3%,"$ 1 6,887,323","$ 1 4,907,943"
94563,335.0%,"$ 2 ,334,176,573",54.5%,"$ 5 36,647,616",67.7%,"$ 3 47,392,013",108.7%,"$ 2 07,185,521","$ 9 9,290,732"
94564,382.1%,"$ 6 9,396,069",394.3%,"$ 1 4,393,270",-19.8%,"$ 2 ,912,046",25.3%,"$ 3 ,633,224","$ 2 ,898,603"
94565,227.5%,"$ 9 2,905,943",72.4%,"$ 2 8,370,463",-23.4%,"$ 1 6,456,253",5.8%,"$ 2 1,472,143","$ 2 0,304,225"
94569,51.5%,"$ 1 0,223,518",85.7%,"$ 6 ,750,312",453.6%,"$ 3 ,636,007",-27.8%,"$ 6 56,794","$ 9 09,159"
94572,141.8%,"$ 1 0,975,154",46.5%,"$ 4 ,538,399",-30.2%,"$ 3 ,098,192",9.4%,"$ 4 ,437,188","$ 4 ,056,059"
94582,280.6%,"$ 6 3,650,614",0.0%,"$ 1 6,723,264",-100.0%,$ -,-40.6%,"$ 1 ,362,812","$ 2 ,295,756"
94583,195.2%,"$ 2 95,350,600",89.6%,"$ 1 00,038,816",50.8%,"$ 5 2,766,910",162.8%,"$ 3 4,989,462","$ 1 3,312,329"
94595,156.1%,"$ 1 12,071,078",49.4%,"$ 4 3,766,149",35.4%,"$ 2 9,294,513",253.2%,"$ 2 1,637,739","$ 6 ,126,604"
94596,449.0%,"$ 6 9,231,990",38.2%,"$ 1 2,611,397",-6.7%,"$ 9 ,128,571",41.8%,"$ 9 ,787,969","$ 6 ,903,254"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
94597,331.1%,"$ 7 7,607,995",89.5%,"$ 1 8,004,301",22.0%,"$ 9 ,500,805",-2.3%,"$ 7 ,788,717","$ 7 ,968,285"
94598,139.5%,"$ 7 9,569,783",176.2%,"$ 3 3,218,348",-13.5%,"$ 1 2,026,875",15.0%,"$ 1 3,907,671","$ 1 2,090,438"
94801,90.8%,"$ 7 2,630,392",9.3%,"$ 3 8,060,729",5.7%,"$ 3 4,807,193",16.6%,"$ 3 2,930,569","$ 2 8,239,352"
94803,265.4%,"$ 2 73,123,383",76.7%,"$ 7 4,737,158",95.3%,"$ 4 2,287,320",46.7%,"$ 2 1,652,261","$ 1 4,761,400"
94804,136.2%,"$ 7 0,213,026",36.2%,"$ 2 9,721,149",-17.3%,"$ 2 1,817,207",31.9%,"$ 2 6,371,368","$ 1 9,988,113"
94805,164.4%,"$ 8 2,316,439",118.6%,"$ 3 1,135,907",-4.2%,"$ 1 4,241,977",67.9%,"$ 1 4,862,369","$ 8 ,851,676"
94806,102.6%,"$ 6 2,983,942",12.1%,"$ 3 1,090,076",18.7%,"$ 2 7,723,680",-2.6%,"$ 2 3,360,602","$ 2 3,976,202"
95531,143.2%,"$ 1 13,361,275",90.4%,"$ 4 6,610,250",85.6%,"$ 2 4,485,300",68.5%,"$ 1 3,190,314","$ 7 ,829,592"
95543,6.8%,"$ 4 7,619,433",25.5%,"$ 4 4,584,753",15.0%,"$ 3 5,529,953",100.0%,"$ 3 0,899,257","$ 1 5,453,341"
95548,66.7%,"$ 8 ,860,223",44.2%,"$ 5 ,316,033",74.1%,"$ 3 ,687,692",191.4%,"$ 2 ,118,051","$ 7 26,910"
95567,148.5%,"$ 8 ,934,983",133.3%,"$ 3 ,595,076",-13.9%,"$ 1 ,541,226",71.6%,"$ 1 ,790,191","$ 1 ,043,247"
95614,40.6%,"$ 5 92,766,170",14.4%,"$ 4 21,615,792",18.6%,"$ 3 68,519,347",57.9%,"$ 3 10,695,245","$ 1 96,804,825"
95619,72.5%,"$ 3 10,498,244",88.4%,"$ 1 80,015,729",35.0%,"$ 9 5,554,886",47.7%,"$ 7 0,770,975","$ 4 7,917,647"
95623,47.1%,"$ 5 50,429,197",64.5%,"$ 3 74,295,294",21.0%,"$ 2 27,474,179",64.5%,"$ 1 87,959,460","$ 1 14,228,321"
95633,32.2%,"$ 5 74,284,648",12.3%,"$ 4 34,430,939",14.9%,"$ 3 86,827,843",18.3%,"$ 3 36,525,083","$ 2 84,485,477"
95634,32.7%,"$ 5 25,683,540",12.1%,"$ 3 96,164,616",19.2%,"$ 3 53,408,376",24.2%,"$ 2 96,550,966","$ 2 38,809,458"
95635,17.3%,"$ 2 16,529,129",10.8%,"$ 1 84,628,619",22.9%,"$ 1 66,557,619",20.0%,"$ 1 35,504,389","$ 1 12,965,120"
95636,44.9%,"$ 9 4,101,963",-1.1%,"$ 6 4,926,677",-33.6%,"$ 6 5,656,163",47.9%,"$ 9 8,894,650","$ 6 6,883,812"
95651,33.4%,"$ 9 8,612,117",41.8%,"$ 7 3,925,090",8.0%,"$ 5 2,139,366",31.6%,"$ 4 8,295,874","$ 3 6,709,734"
95664,16.8%,"$ 2 56,505,245",21.5%,"$ 2 19,596,819",5.6%,"$ 1 80,665,271",68.3%,"$ 1 71,122,328","$ 1 01,651,513"
95667,39.3%,"$ 5 ,640,102,982",18.6%,"$ 4 ,049,489,865",16.2%,"$ 3 ,413,841,672",19.2%,"$ 2 ,938,255,456","$ 2 ,465,932,784"
95672,36.7%,"$ 6 54,213,432",42.6%,"$ 4 78,471,329",26.5%,"$ 3 35,462,447",87.7%,"$ 2 65,264,396","$ 1 41,298,693"
95682,67.8%,"$ 2 ,246,018,081",77.1%,"$ 1 ,338,274,076",25.0%,"$ 7 55,595,908",73.9%,"$ 6 04,465,694","$ 3 47,667,317"
95684,17.5%,"$ 5 37,990,319",29.0%,"$ 4 57,852,399",5.2%,"$ 3 54,914,482",42.2%,"$ 3 37,276,242","$ 2 37,229,348"
95709,19.7%,"$ 8 65,627,146",12.1%,"$ 7 22,915,333",11.6%,"$ 6 44,978,954",69.3%,"$ 5 78,190,563","$ 3 41,525,456"
95720,4.1%,"$ 7 1,982,973",14.7%,"$ 6 9,151,841",5.2%,"$ 6 0,309,923",22.5%,"$ 5 7,325,877","$ 4 6,790,115"
95721,23.4%,"$ 3 3,955,099",13.0%,"$ 2 7,521,699",-19.5%,"$ 2 4,351,718",93.2%,"$ 3 0,249,095","$ 1 5,656,088"
95726,15.5%,"$ 1 ,834,996,459",11.1%,"$ 1 ,588,760,799",13.3%,"$ 1 ,430,350,619",20.8%,"$ 1 ,262,644,633","$ 1 ,045,649,292"
95735,11.9%,"$ 6 5,069,410",26.1%,"$ 5 8,129,616",-12.7%,"$ 4 6,083,572",58.5%,"$ 5 2,807,466","$ 3 3,309,496"
95762,127.4%,"$ 1 ,397,036,925",69.2%,"$ 6 14,458,016",29.2%,"$ 3 63,141,002",65.2%,"$ 2 81,153,672","$ 1 70,212,474"
96142,43.8%,"$ 8 31,196,814",93.7%,"$ 5 78,086,560",56.1%,"$ 2 98,375,170",95.5%,"$ 1 91,110,172","$ 9 7,762,085"
96150,27.3%,"$ 4 ,382,797,628",42.2%,"$ 3 ,443,528,706",27.8%,"$ 2 ,421,196,329",57.3%,"$ 1 ,893,802,460","$ 1 ,203,942,704"
93210,10.5%,"$ 1 7,539,721",33.7%,"$ 1 5,876,400",23.2%,"$ 1 1,872,002",0.5%,"$ 9 ,638,137","$ 9 ,587,546"
93234,-48.7%,"$ 3 12,787",8.2%,"$ 6 09,996",-59.2%,"$ 5 63,660",63.5%,"$ 1 ,380,735","$ 8 44,409"
