ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
92705,132.7%,"$ 2 35,995,531",64.8%,"$ 1 01,418,506",13.6%,"$ 6 1,540,300",207.4%,"$ 5 4,188,094","$ 1 7,626,078"
92706,85.0%,"$ 2 1,353,864",167.1%,"$ 1 1,543,828",108.6%,"$ 4 ,321,155",-21.5%,"$ 2 ,071,842","$ 2 ,640,264"
92707,97.3%,"$ 6 1,074,972",14.8%,"$ 3 0,955,412",-2.3%,"$ 2 6,955,115",-2.5%,"$ 2 7,597,403","$ 2 8,318,511"
92708,251.4%,"$ 5 6,272,688",106.7%,"$ 1 6,013,193",-8.7%,"$ 7 ,746,716",6.8%,"$ 8 ,489,029","$ 7 ,947,833"
92780,571.2%,"$ 3 2,153,824",352.1%,"$ 4 ,790,791",-80.8%,"$ 1 ,059,623",8.6%,"$ 5 ,505,869","$ 5 ,071,206"
92782,201.7%,"$ 8 6,147,964",108.9%,"$ 2 8,557,173",24.7%,"$ 1 3,669,564",141.0%,"$ 1 0,960,538","$ 4 ,548,249"
92801,186.7%,"$ 4 3,446,201",39.8%,"$ 1 5,152,038",8.1%,"$ 1 0,841,513",-4.7%,"$ 1 0,030,562","$ 1 0,524,827"
92802,117.7%,"$ 1 7,546,941",-2.8%,"$ 8 ,059,786",25.2%,"$ 8 ,294,654",-6.9%,"$ 6 ,623,800","$ 7 ,117,956"
92804,192.8%,"$ 5 4,406,795",98.3%,"$ 1 8,582,615",11.3%,"$ 9 ,371,495",-3.0%,"$ 8 ,421,671","$ 8 ,685,408"
92805,257.7%,"$ 6 1,200,875",7.0%,"$ 1 7,111,669",14.9%,"$ 1 5,997,761",26.3%,"$ 1 3,926,404","$ 1 1,024,651"
92806,432.1%,"$ 2 3,572,190",73.4%,"$ 4 ,430,209",6.1%,"$ 2 ,555,158",-27.0%,"$ 2 ,407,808","$ 3 ,299,576"
92807,152.2%,"$ 3 69,544,788",65.2%,"$ 1 46,536,989",19.6%,"$ 8 8,718,276",82.7%,"$ 7 4,157,147","$ 4 0,583,120"
92808,304.8%,"$ 4 02,310,709",97.7%,"$ 9 9,374,963",80.6%,"$ 5 0,274,519",155.3%,"$ 2 7,837,139","$ 1 0,905,035"
92821,116.3%,"$ 2 41,629,113",55.4%,"$ 1 11,711,370",24.6%,"$ 7 1,872,611",43.3%,"$ 5 7,668,081","$ 4 0,239,506"
92823,108.4%,"$ 1 18,035,955",29.1%,"$ 5 6,634,313",23.4%,"$ 4 3,867,650",40.6%,"$ 3 5,546,784","$ 2 5,281,927"
92831,94.4%,"$ 3 8,613,794",132.6%,"$ 1 9,867,375",2.5%,"$ 8 ,541,509",4.2%,"$ 8 ,332,362","$ 7 ,999,170"
92832,87.7%,"$ 1 6,355,345",121.9%,"$ 8 ,711,872",-6.0%,"$ 3 ,925,307",-22.8%,"$ 4 ,175,972","$ 5 ,409,411"
92833,127.2%,"$ 6 5,044,508",74.7%,"$ 2 8,623,997",18.6%,"$ 1 6,384,800",12.7%,"$ 1 3,811,381","$ 1 2,250,171"
92835,89.0%,"$ 4 2,518,059",109.7%,"$ 2 2,497,152",-16.7%,"$ 1 0,726,029",6.3%,"$ 1 2,877,856","$ 1 2,115,448"
92840,348.6%,"$ 3 6,657,799",159.6%,"$ 8 ,172,359",-12.5%,"$ 3 ,147,637",-7.9%,"$ 3 ,595,771","$ 3 ,903,060"
92841,753.6%,"$ 3 4,124,634",39.4%,"$ 3 ,997,789",105.9%,"$ 2 ,868,784",36.1%,"$ 1 ,393,626","$ 1 ,023,627"
92843,274.7%,"$ 3 1,051,318",137.6%,"$ 8 ,287,727",-3.5%,"$ 3 ,488,067",2.5%,"$ 3 ,614,793","$ 3 ,525,726"
92844,314.0%,"$ 1 6,070,903",227.5%,"$ 3 ,881,562",257.4%,"$ 1 ,185,378",5.2%,"$ 3 31,659","$ 3 15,170"
92845,1347.3%,"$ 5 ,644,343",-19.3%,"$ 3 90,000",0.0%,"$ 4 83,400",0.0%,$ -,$ -
92861,209.9%,"$ 2 6,524,137",40.1%,"$ 8 ,557,613",130.0%,"$ 6 ,107,160",231.3%,"$ 2 ,655,579","$ 8 01,525"
92865,191.6%,"$ 1 1,625,249",10.5%,"$ 3 ,986,925",26.1%,"$ 3 ,606,800",34.9%,"$ 2 ,861,008","$ 2 ,121,354"
92866,272.5%,"$ 1 0,790,416",375.7%,"$ 2 ,896,909",-70.3%,"$ 6 09,015",6.9%,"$ 2 ,051,018","$ 1 ,917,997"
92867,284.4%,"$ 1 75,613,565",184.7%,"$ 4 5,682,947",59.5%,"$ 1 6,044,162",50.3%,"$ 1 0,059,263","$ 6 ,691,993"
92868,193.1%,"$ 1 2,416,623",33.8%,"$ 4 ,236,779",45.4%,"$ 3 ,166,696",-50.7%,"$ 2 ,177,262","$ 4 ,412,295"
92869,224.8%,"$ 1 37,716,003",49.9%,"$ 4 2,399,885",36.1%,"$ 2 8,283,868",23.8%,"$ 2 0,781,592","$ 1 6,790,375"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
92870,98.1%,"$ 4 2,188,464",87.2%,"$ 2 1,293,693",49.9%,"$ 1 1,373,517",-8.6%,"$ 7 ,586,739","$ 8 ,302,331"
92886,273.7%,"$ 6 44,955,252",60.3%,"$ 1 72,600,065",7.6%,"$ 1 07,642,767",95.1%,"$ 1 00,080,207","$ 5 1,287,479"
92887,75.1%,"$ 7 54,091,060",39.7%,"$ 4 30,580,692",14.0%,"$ 3 08,187,640",124.5%,"$ 2 70,416,869","$ 1 20,440,490"
95602,27.4%,"$ 2 ,767,036,303",33.6%,"$ 2 ,171,299,930",17.6%,"$ 1 ,624,727,916",31.3%,"$ 1 ,382,145,539","$ 1 ,052,977,532"
95603,100.0%,"$ 1 ,566,686,257",30.0%,"$ 7 83,300,420",9.5%,"$ 6 02,341,515",68.1%,"$ 5 50,292,472","$ 3 27,411,191"
95631,8.2%,"$ 1 ,394,752,660",9.3%,"$ 1 ,289,380,869",12.6%,"$ 1 ,180,093,107",44.8%,"$ 1 ,048,365,876","$ 7 24,074,325"
95648,96.0%,"$ 1 72,544,548",101.6%,"$ 8 8,043,900",7.8%,"$ 4 3,679,284",98.9%,"$ 4 0,525,961","$ 2 0,374,354"
95650,85.2%,"$ 6 72,898,062",79.9%,"$ 3 63,277,202",38.7%,"$ 2 01,905,584",76.5%,"$ 1 45,549,361","$ 8 2,452,879"
95658,111.9%,"$ 4 88,876,617",71.1%,"$ 2 30,740,719",29.9%,"$ 1 34,843,452",43.0%,"$ 1 03,784,185","$ 7 2,581,455"
95661,152.0%,"$ 9 ,124,985",203.0%,"$ 3 ,621,693",10.8%,"$ 1 ,195,453",0.0%,"$ 1 ,079,000",$ -
95663,146.5%,"$ 1 00,533,675",152.2%,"$ 4 0,790,659",-7.5%,"$ 1 6,170,800",129.0%,"$ 1 7,480,825","$ 7 ,633,634"
95677,421.3%,"$ 4 3,227,871",189.7%,"$ 8 ,292,911",125.6%,"$ 2 ,862,373",76.1%,"$ 1 ,268,779","$ 7 20,334"
95678,391.1%,"$ 8 ,270,474",150.6%,"$ 1 ,683,973",-23.4%,"$ 6 71,985",366.6%,"$ 8 77,150","$ 1 88,000"
95681,448.5%,"$ 9 ,605,228",45.2%,"$ 1 ,751,149",61.8%,"$ 1 ,205,950",0.0%,"$ 7 45,450",$ -
95701,20.5%,"$ 2 11,450,276",14.2%,"$ 1 75,533,934",14.1%,"$ 1 53,725,911",19.0%,"$ 1 34,780,976","$ 1 13,270,389"
95703,16.6%,"$ 2 78,618,281",22.5%,"$ 2 38,870,586",10.6%,"$ 1 95,044,252",67.1%,"$ 1 76,353,189","$ 1 05,540,018"
95713,25.2%,"$ 1 ,463,857,494",10.2%,"$ 1 ,169,015,638",8.7%,"$ 1 ,060,766,485",60.5%,"$ 9 75,839,728","$ 6 08,001,012"
95714,26.4%,"$ 8 4,000,444",16.8%,"$ 6 6,473,298",15.6%,"$ 5 6,927,252",14.6%,"$ 4 9,238,946","$ 4 2,957,495"
95715,0.5%,"$ 4 6,711,342",19.7%,"$ 4 6,479,905",7.7%,"$ 3 8,823,207",56.8%,"$ 3 6,046,475","$ 2 2,987,975"
95717,22.8%,"$ 4 0,092,617",6.2%,"$ 3 2,653,961",21.5%,"$ 3 0,761,293",32.0%,"$ 2 5,326,667","$ 1 9,183,752"
95722,17.7%,"$ 1 ,464,000,149",29.2%,"$ 1 ,243,357,980",18.2%,"$ 9 62,443,336",61.5%,"$ 8 14,320,574","$ 5 04,109,513"
95724,83.0%,"$ 6 8,190,133",-2.9%,"$ 3 7,265,342",63.6%,"$ 3 8,390,826",101.7%,"$ 2 3,461,164","$ 1 1,629,028"
95736,0.0%,"$ 1 5,032,128",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95746,117.0%,"$ 8 72,589,240",90.6%,"$ 4 02,176,382",73.8%,"$ 2 11,045,900",78.8%,"$ 1 21,424,945","$ 6 7,905,649"
95747,126.7%,"$ 2 7,968,409",305.6%,"$ 1 2,338,992",-12.4%,"$ 3 ,042,274",1295.9%,"$ 3 ,472,034","$ 2 48,723"
95765,528.1%,"$ 1 7,153,020",244.7%,"$ 2 ,730,808",6.8%,"$ 7 92,178",0.0%,"$ 7 41,450",$ -
96140,25.8%,"$ 8 76,411,659",50.9%,"$ 6 96,875,536",75.9%,"$ 4 61,824,397",134.6%,"$ 2 62,613,761","$ 1 11,954,501"
96141,67.3%,"$ 7 54,746,107",84.0%,"$ 4 51,161,207",43.7%,"$ 2 45,168,929",85.6%,"$ 1 70,585,624","$ 9 1,891,061"
96143,21.4%,"$ 5 67,710,342",25.8%,"$ 4 67,556,044",39.0%,"$ 3 71,670,651",76.3%,"$ 2 67,427,472","$ 1 51,697,148"
96145,32.0%,"$ 1 ,749,588,066",22.9%,"$ 1 ,325,282,850",24.1%,"$ 1 ,078,592,889",96.5%,"$ 8 69,101,914","$ 4 42,216,627"
96146,17.9%,"$ 1 ,214,643,022",23.7%,"$ 1 ,030,247,049",21.9%,"$ 8 33,001,656",90.4%,"$ 6 83,359,350","$ 3 58,959,653"
96148,24.9%,"$ 5 12,143,590",58.5%,"$ 4 10,160,077",50.6%,"$ 2 58,800,029",110.7%,"$ 1 71,816,935","$ 8 1,559,850"
95915,91.3%,"$ 7 87,321",-27.6%,"$ 4 11,521",182.4%,"$ 5 68,750",0.0%,"$ 2 01,400",$ -
95923,16.1%,"$ 4 1,779,696",31.4%,"$ 3 5,994,992",3.6%,"$ 2 7,396,036",46.9%,"$ 2 6,439,050","$ 1 8,001,316"
95934,-2.6%,"$ 6 ,622,698",120.3%,"$ 6 ,796,076",-30.5%,"$ 3 ,085,390",22.9%,"$ 4 ,440,058","$ 3 ,611,589"
95947,49.9%,"$ 6 2,337,097",39.0%,"$ 4 1,576,566",5.5%,"$ 2 9,900,804",41.2%,"$ 2 8,353,879","$ 2 0,082,191"
95956,23.9%,"$ 4 9,143,944",36.9%,"$ 3 9,661,028",31.5%,"$ 2 8,976,368",42.2%,"$ 2 2,040,353","$ 1 5,496,233"
95971,43.6%,"$ 3 31,826,247",78.8%,"$ 2 31,010,462",28.2%,"$ 1 29,177,390",42.1%,"$ 1 00,740,475","$ 7 0,870,560"
95983,17.6%,"$ 2 9,356,095",38.0%,"$ 2 4,953,125",21.2%,"$ 1 8,084,446",18.1%,"$ 1 4,927,022","$ 1 2,641,990"
95984,-8.7%,"$ 1 1,089,139",13.0%,"$ 1 2,151,234",21.7%,"$ 1 0,755,350",22.9%,"$ 8 ,838,078","$ 7 ,188,692"
96020,25.0%,"$ 3 12,503,059",63.5%,"$ 2 50,026,691",9.4%,"$ 1 52,931,972",56.0%,"$ 1 39,799,599","$ 8 9,616,513"
96063,41.8%,"$ 4 0,682,985",20.8%,"$ 2 8,686,924",34.8%,"$ 2 3,745,991",124.5%,"$ 1 7,610,966","$ 7 ,845,781"
96103,26.1%,"$ 3 94,938,862",46.8%,"$ 3 13,196,235",24.6%,"$ 2 13,352,674",37.6%,"$ 1 71,290,768","$ 1 24,468,534"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
96105,45.9%,"$ 2 4,659,664",30.2%,"$ 1 6,899,223",11.8%,"$ 1 2,975,878",26.0%,"$ 1 1,606,942","$ 9 ,211,745"
96106,12.4%,"$ 1 28,742,078",40.9%,"$ 1 14,516,473",42.9%,"$ 8 1,287,734",25.8%,"$ 5 6,868,510","$ 4 5,221,150"
96122,36.5%,"$ 3 95,326,378",53.4%,"$ 2 89,640,516",24.4%,"$ 1 88,818,782",34.5%,"$ 1 51,800,849","$ 1 12,834,813"
96129,61.1%,"$ 1 3,038,486",224.1%,"$ 8 ,091,203",-3.7%,"$ 2 ,496,440",25.4%,"$ 2 ,591,755","$ 2 ,066,315"
96137,18.7%,"$ 8 49,805,828",48.5%,"$ 7 15,877,688",22.0%,"$ 4 82,151,729",42.6%,"$ 3 95,258,230","$ 2 77,159,130"
91752,172.2%,"$ 1 61,168,397",61.5%,"$ 5 9,204,892",12.9%,"$ 3 6,665,747",17.4%,"$ 3 2,463,277","$ 2 7,662,923"
92201,257.2%,"$ 4 7,202,211",36.5%,"$ 1 3,212,975",-6.8%,"$ 9 ,677,617",25.2%,"$ 1 0,383,338","$ 8 ,292,252"
92203,289.7%,"$ 3 3,811,277",18.8%,"$ 8 ,676,906",52.3%,"$ 7 ,302,255",-8.7%,"$ 4 ,794,444","$ 5 ,253,413"
92210,327.2%,"$ 5 1,605,899",127.6%,"$ 1 2,079,064",103.7%,"$ 5 ,307,066",-40.2%,"$ 2 ,605,380","$ 4 ,354,072"
92211,1013.0%,"$ 3 0,494,474",75.7%,"$ 2 ,739,879",20.5%,"$ 1 ,559,740",-2.1%,"$ 1 ,294,450","$ 1 ,322,691"
92220,113.6%,"$ 4 83,955,383",63.8%,"$ 2 26,578,837",72.8%,"$ 1 38,361,640",17.9%,"$ 8 0,092,766","$ 6 7,921,804"
92223,117.0%,"$ 1 ,040,402,052",69.8%,"$ 4 79,507,583",52.8%,"$ 2 82,341,865",45.4%,"$ 1 84,749,305","$ 1 27,092,508"
92225,179.0%,"$ 3 5,071,773",121.8%,"$ 1 2,570,889",25.7%,"$ 5 ,667,102",36.9%,"$ 4 ,507,343","$ 3 ,291,376"
92230,88.4%,"$ 3 6,861,283",56.8%,"$ 1 9,563,601",226.1%,"$ 1 2,474,242",37.7%,"$ 3 ,825,230","$ 2 ,777,034"
92234,540.3%,"$ 7 6,745,803",30.3%,"$ 1 1,985,317",-1.4%,"$ 9 ,201,577",-16.5%,"$ 9 ,328,614","$ 1 1,177,790"
92236,221.8%,"$ 1 7,397,701",-4.9%,"$ 5 ,406,396",-6.4%,"$ 5 ,686,747",-2.1%,"$ 6 ,074,983","$ 6 ,204,459"
92239,349.5%,"$ 1 ,895,158",0.0%,"$ 4 21,600",0.0%,$ -,0.0%,$ -,$ -
92240,251.9%,"$ 1 04,133,343",77.1%,"$ 2 9,590,917",9.3%,"$ 1 6,706,393",13.9%,"$ 1 5,286,351","$ 1 3,421,867"
92241,209.4%,"$ 5 1,623,412",92.6%,"$ 1 6,684,024",45.3%,"$ 8 ,660,516",12.1%,"$ 5 ,961,681","$ 5 ,317,220"
92253,270.8%,"$ 8 9,431,764",71.1%,"$ 2 4,116,197",54.6%,"$ 1 4,095,257",-4.4%,"$ 9 ,116,657","$ 9 ,536,198"
92254,103.3%,"$ 6 ,237,007",58.8%,"$ 3 ,067,264",68.8%,"$ 1 ,931,198",0.7%,"$ 1 ,144,355","$ 1 ,136,560"
92258,558.3%,"$ 3 ,796,489",6.7%,"$ 5 76,739",5.6%,"$ 5 40,617",5.1%,"$ 5 12,075","$ 4 87,183"
92260,352.5%,"$ 8 4,160,372",34.4%,"$ 1 8,598,966",111.9%,"$ 1 3,840,389",31.8%,"$ 6 ,532,173","$ 4 ,954,314"
92262,162.3%,"$ 9 2,610,686",104.8%,"$ 3 5,309,324",88.9%,"$ 1 7,242,540",21.5%,"$ 9 ,125,500","$ 7 ,510,343"
92264,291.7%,"$ 1 41,763,617",85.9%,"$ 3 6,191,370",106.4%,"$ 1 9,464,244",1.4%,"$ 9 ,428,094","$ 9 ,295,046"
92270,260.3%,"$ 1 21,560,295",93.6%,"$ 3 3,736,621",35.4%,"$ 1 7,423,753",19.6%,"$ 1 2,865,949","$ 1 0,756,225"
92274,157.3%,"$ 3 6,362,943",107.0%,"$ 1 4,132,349",19.0%,"$ 6 ,828,843",50.0%,"$ 5 ,736,881","$ 3 ,825,678"
92276,191.6%,"$ 2 1,256,432",134.5%,"$ 7 ,289,404",-10.9%,"$ 3 ,108,221",39.9%,"$ 3 ,487,679","$ 2 ,493,435"
92282,56.5%,"$ 3 2,647,765",37.8%,"$ 2 0,856,147",16.8%,"$ 1 5,139,109",32.3%,"$ 1 2,960,233","$ 9 ,796,466"
92320,87.0%,"$ 3 88,123,829",107.7%,"$ 2 07,597,918",57.5%,"$ 9 9,935,788",53.5%,"$ 6 3,441,968","$ 4 1,328,402"
92501,100.6%,"$ 4 8,831,913",104.8%,"$ 2 4,344,808",5.5%,"$ 1 1,884,509",9.9%,"$ 1 1,270,186","$ 1 0,255,285"
92503,205.4%,"$ 8 03,486,598",90.1%,"$ 2 63,052,588",29.4%,"$ 1 38,370,616",63.6%,"$ 1 06,961,280","$ 6 5,389,097"
92504,198.9%,"$ 2 93,015,824",91.6%,"$ 9 8,024,131",44.2%,"$ 5 1,148,791",28.9%,"$ 3 5,462,506","$ 2 7,501,674"
92505,223.9%,"$ 1 72,160,774",133.6%,"$ 5 3,144,990",3.2%,"$ 2 2,750,383",18.6%,"$ 2 2,055,268","$ 1 8,598,398"
92506,325.5%,"$ 4 81,304,008",113.6%,"$ 1 13,121,458",52.8%,"$ 5 2,964,488",43.0%,"$ 3 4,652,626","$ 2 4,227,092"
92507,202.0%,"$ 2 92,462,688",154.4%,"$ 9 6,851,950",6.9%,"$ 3 8,069,401",34.2%,"$ 3 5,602,996","$ 2 6,521,223"
92508,377.5%,"$ 2 22,340,035",180.0%,"$ 4 6,564,816",50.6%,"$ 1 6,630,788",-12.3%,"$ 1 1,041,395","$ 1 2,596,583"
92509,147.7%,"$ 3 80,788,976",38.0%,"$ 1 53,736,271",29.9%,"$ 1 11,364,665",21.0%,"$ 8 5,711,231","$ 7 0,820,583"
92518,5.4%,"$ 6 51,960",0.0%,"$ 6 18,750",0.0%,$ -,0.0%,$ -,$ -
92530,99.5%,"$ 1 ,172,410,648",72.1%,"$ 5 87,528,904",42.7%,"$ 3 41,373,155",44.5%,"$ 2 39,145,220","$ 1 65,530,421"
92532,154.9%,"$ 7 60,724,265",73.4%,"$ 2 98,439,918",32.7%,"$ 1 72,133,461",117.9%,"$ 1 29,738,434","$ 5 9,540,307"
92536,49.4%,"$ 2 71,918,256",28.1%,"$ 1 82,051,228",55.2%,"$ 1 42,117,650",66.8%,"$ 9 1,584,078","$ 5 4,908,648"
92539,46.1%,"$ 2 68,362,762",21.4%,"$ 1 83,701,502",48.2%,"$ 1 51,270,089",53.2%,"$ 1 02,059,536","$ 6 6,612,901"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
92543,228.8%,"$ 1 76,914,455",63.9%,"$ 5 3,798,179",16.7%,"$ 3 2,824,574",35.3%,"$ 2 8,132,288","$ 2 0,787,966"
92544,92.6%,"$ 7 78,824,214",47.2%,"$ 4 04,336,464",32.3%,"$ 2 74,701,421",38.0%,"$ 2 07,564,028","$ 1 50,413,149"
92545,205.3%,"$ 3 73,459,037",67.8%,"$ 1 22,322,935",23.4%,"$ 7 2,882,225",75.3%,"$ 5 9,046,706","$ 3 3,682,747"
92548,139.1%,"$ 1 53,003,995",48.4%,"$ 6 3,985,673",38.4%,"$ 4 3,125,854",96.1%,"$ 3 1,160,036","$ 1 5,886,175"
92549,9.9%,"$ 1 ,748,762,541",14.6%,"$ 1 ,591,476,094",35.2%,"$ 1 ,388,331,554",27.6%,"$ 1 ,026,614,629","$ 8 04,412,498"
92551,299.9%,"$ 1 65,251,154",60.3%,"$ 4 1,321,669",1.9%,"$ 2 5,783,272",1.6%,"$ 2 5,311,200","$ 2 4,917,322"
92553,205.8%,"$ 2 26,844,800",48.2%,"$ 7 4,182,606",13.7%,"$ 5 0,043,648",16.1%,"$ 4 4,000,156","$ 3 7,901,451"
92555,261.7%,"$ 6 67,785,917",132.4%,"$ 1 84,630,930",30.1%,"$ 7 9,452,503",27.7%,"$ 6 1,073,699","$ 4 7,825,950"
92557,166.1%,"$ 5 72,612,375",97.1%,"$ 2 15,203,102",44.0%,"$ 1 09,167,111",44.2%,"$ 7 5,790,337","$ 5 2,571,951"
92561,45.0%,"$ 3 42,070,577",37.0%,"$ 2 35,954,902",52.3%,"$ 1 72,216,552",43.2%,"$ 1 13,088,367","$ 7 8,957,779"
92562,60.6%,"$ 2 ,479,108,374",48.9%,"$ 1 ,544,006,831",55.8%,"$ 1 ,036,825,596",65.8%,"$ 6 65,654,804","$ 4 01,558,929"
92563,262.0%,"$ 5 77,922,153",99.8%,"$ 1 59,648,046",31.9%,"$ 7 9,899,456",74.4%,"$ 6 0,565,962","$ 3 4,729,131"
92567,109.5%,"$ 1 75,829,307",54.1%,"$ 8 3,931,637",47.3%,"$ 5 4,481,884",105.4%,"$ 3 6,986,279","$ 1 8,009,321"
92570,96.2%,"$ 1 ,134,758,821",67.0%,"$ 5 78,335,799",55.4%,"$ 3 46,388,677",52.9%,"$ 2 22,886,919","$ 1 45,773,301"
92571,178.4%,"$ 2 83,661,696",48.6%,"$ 1 01,879,552",14.3%,"$ 6 8,582,481",16.5%,"$ 5 9,978,406","$ 5 1,474,763"
92582,117.9%,"$ 1 27,484,022",42.7%,"$ 5 8,503,314",98.0%,"$ 4 0,989,327",39.2%,"$ 2 0,705,758","$ 1 4,874,973"
92583,264.9%,"$ 1 81,336,294",68.5%,"$ 4 9,691,196",36.4%,"$ 2 9,494,946",23.3%,"$ 2 1,626,091","$ 1 7,542,850"
92584,216.7%,"$ 4 73,400,318",69.6%,"$ 1 49,484,412",64.4%,"$ 8 8,156,184",100.1%,"$ 5 3,610,776","$ 2 6,798,633"
92585,324.5%,"$ 1 91,022,554",92.7%,"$ 4 4,999,831",49.5%,"$ 2 3,346,757",53.0%,"$ 1 5,616,056","$ 1 0,207,557"
92586,593.5%,"$ 1 36,226,302",98.2%,"$ 1 9,641,914",83.1%,"$ 9 ,907,787",4.1%,"$ 5 ,409,709","$ 5 ,195,775"
92587,259.8%,"$ 4 71,788,974",159.0%,"$ 1 31,141,637",16.8%,"$ 5 0,632,785",66.7%,"$ 4 3,363,591","$ 2 6,012,976"
92590,28.0%,"$ 6 66,237,565",34.1%,"$ 5 20,692,554",90.7%,"$ 3 88,156,561",57.5%,"$ 2 03,581,695","$ 1 29,297,927"
92591,232.9%,"$ 1 51,191,895",45.9%,"$ 4 5,410,365",103.5%,"$ 3 1,129,902",64.9%,"$ 1 5,299,130","$ 9 ,275,861"
92592,104.0%,"$ 1 ,470,988,557",45.3%,"$ 7 21,104,959",106.8%,"$ 4 96,343,381",99.2%,"$ 2 39,975,080","$ 1 20,497,676"
92595,120.2%,"$ 8 55,813,812",143.6%,"$ 3 88,668,872",27.8%,"$ 1 59,576,937",77.3%,"$ 1 24,892,149","$ 7 0,423,152"
92596,300.1%,"$ 2 95,500,093",107.9%,"$ 7 3,849,547",48.4%,"$ 3 5,522,978",63.4%,"$ 2 3,934,001","$ 1 4,643,068"
92860,322.1%,"$ 1 97,976,599",116.0%,"$ 4 6,901,071",12.8%,"$ 2 1,716,973",-21.5%,"$ 1 9,247,541","$ 2 4,513,776"
92879,165.6%,"$ 1 63,823,190",53.4%,"$ 6 1,686,042",28.5%,"$ 4 0,205,949",12.1%,"$ 3 1,290,848","$ 2 7,908,615"
92880,294.0%,"$ 4 62,036,482",83.1%,"$ 1 17,266,237",22.7%,"$ 6 4,036,527",20.0%,"$ 5 2,204,190","$ 4 3,510,439"
92881,213.5%,"$ 4 80,792,372",107.4%,"$ 1 53,371,480",26.2%,"$ 7 3,956,248",79.5%,"$ 5 8,584,443","$ 3 2,634,821"
92882,120.3%,"$ 1 ,279,325,915",97.9%,"$ 5 80,663,574",49.1%,"$ 2 93,407,861",52.1%,"$ 1 96,832,602","$ 1 29,379,567"
92883,156.5%,"$ 1 ,459,605,713",142.2%,"$ 5 68,998,177",63.9%,"$ 2 34,903,310",132.3%,"$ 1 43,331,141","$ 6 1,707,708"
95608,337.6%,"$ 2 1,593,251",-20.3%,"$ 4 ,934,514",77.2%,"$ 6 ,189,622",-24.5%,"$ 3 ,493,646","$ 4 ,627,492"
95610,147.7%,"$ 9 ,588,437",93.7%,"$ 3 ,871,542",-24.4%,"$ 1 ,999,011",81.4%,"$ 2 ,642,920","$ 1 ,456,764"
95615,0.0%,$ -,0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95621,62.5%,"$ 6 ,474,149",54.1%,"$ 3 ,984,931",224.5%,"$ 2 ,586,174",5.8%,"$ 7 97,031","$ 7 53,209"
95624,270.7%,"$ 2 7,597,572",434.6%,"$ 7 ,445,295",10.2%,"$ 1 ,392,583",-8.1%,"$ 1 ,263,497","$ 1 ,374,941"
95626,61.2%,"$ 7 ,088,340",507.0%,"$ 4 ,396,290",654.4%,"$ 7 24,250",-77.0%,"$ 9 6,000","$ 4 18,000"
95628,164.6%,"$ 2 7,034,056",335.4%,"$ 1 0,215,105",-48.0%,"$ 2 ,346,385",868.2%,"$ 4 ,511,350","$ 4 65,972"
95630,475.0%,"$ 1 38,318,052",343.4%,"$ 2 4,055,618",-40.3%,"$ 5 ,425,121",174.1%,"$ 9 ,093,270","$ 3 ,317,001"
95632,50.1%,"$ 1 1,122,785",89.2%,"$ 7 ,409,434",2145.8%,"$ 3 ,915,697",6.5%,"$ 1 74,357","$ 1 63,650"
95638,116.5%,"$ 4 ,475,283",7.5%,"$ 2 ,067,032",29.1%,"$ 1 ,922,267",162.9%,"$ 1 ,488,909","$ 5 66,265"
95641,15.3%,"$ 2 ,966,472",99.3%,"$ 2 ,571,931",-36.4%,"$ 1 ,290,164",93.8%,"$ 2 ,028,919","$ 1 ,046,758"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
95655,0.0%,"$ 1 ,321,400",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95660,78.8%,"$ 5 ,826,924",39.7%,"$ 3 ,258,941",-39.7%,"$ 2 ,332,824",59.7%,"$ 3 ,868,384","$ 2 ,422,463"
95662,180.5%,"$ 1 6,258,918",491.7%,"$ 5 ,796,658",0.0%,"$ 9 79,640",-100.0%,$ -,"$ 2 80,000"
95670,253.5%,"$ 1 7,511,970",308.7%,"$ 4 ,954,350",-39.6%,"$ 1 ,212,312",1059.9%,"$ 2 ,006,650","$ 1 73,000"
95673,154.4%,"$ 1 3,968,639",27.3%,"$ 5 ,491,715",10.8%,"$ 4 ,313,866",31.4%,"$ 3 ,891,871","$ 2 ,960,979"
95683,67.4%,"$ 3 4,078,927",157.7%,"$ 2 0,360,807",85.6%,"$ 7 ,901,465",74.9%,"$ 4 ,258,020","$ 2 ,434,411"
